post_id,platform,post_type,content_category,post_date,post_time,likes,comments,shares,saves,impressions,reach,engagement_rate,followers_at_post,hashtags_count,sentiment
SM079,Twitter,Text,Tech,2024-02-10,10:30,445,45,34,0,5560,4340,9.9,15890,11,Neutral
SM080,Instagram,Photo,Travel,2024-02-10,14:15,1678,134,67,189,20120,16340,11.0,19340,9,Positive
SM081,TikTok,Video,Fashion,2024-02-10,18:00,4567,356,534,0,56120,46560,10.0,49340,8,Positive
SM082,Facebook,Video,Food,2024-02-11,09:30,1234,98,67,0,17670,13890,8.6,29560,7,Positive
SM083,Instagram,Story,Lifestyle,2024-02-11,13:45,1456,112,56,178,18560,14780,10.7,18120,6,Positive
SM084,Twitter,Text,Tech,2024-02-11,17:30,512,56,45,0,6340,4890,10.1,16560,14,Neutral
SM085,TikTok,Video,Travel,2024-02-12,11:00,5123,434,623,0,62890,51670,10.6,52120,9,Positive
SM086,Instagram,Reel,Fashion,2024-02-12,15:15,2789,212,89,298,30560,24890,11.7,26670,8,Positive
SM087,Facebook,Photo,Food,2024-02-12,19:00,912,67,45,0,12890,10340,8.5,24560,5,Positive
SM088,Twitter,Text,Lifestyle,2024-02-13,08:00,423,45,28,0,5340,4120,9.6,15120,12,Negative
SM089,Instagram,Photo,Tech,2024-02-13,12:15,1789,145,67,198,20890,17120,11.3,19890,10,Positive
SM090,TikTok,Video,Travel,2024-02-13,16:45,4234,323,478,0,52560,43450,9.7,47890,7,Positive
SM091,Facebook,Video,Fashion,2024-02-14,10:15,1178,89,56,0,16560,13120,8.4,28890,6,Positive
SM092,Instagram,Story,Food,2024-02-14,14:30,1567,123,56,189,18890,15340,10.8,18340,7,Positive
SM093,Twitter,Text,Lifestyle,2024-02-14,18:15,478,56,34,0,5890,4560,10.0,16120,13,Neutral
SM094,TikTok,Video,Tech,2024-02-15,09:45,3789,289,412,0,46890,38560,9.5,43120,8,Positive
SM095,Instagram,Reel,Travel,2024-02-15,13:30,2567,198,89,278,28670,23450,11.5,25450,9,Positive
SM096,Facebook,Photo,Fashion,2024-02-15,17:15,845,67,45,0,11890,9450,8.6,23450,6,Neutral
SM097,Twitter,Text,Food,2024-02-16,11:15,534,67,45,0,6450,5120,10.4,17120,11,Positive
SM098,Instagram,Photo,Lifestyle,2024-02-16,15:00,1678,134,67,189,19890,16120,11.1,19120,11,Positive
SM099,TikTok,Video,Tech,2024-02-16,19:30,4456,345,523,0,54670,45120,9.8,49560,7,Positive
SM100,Facebook,Video,Travel,2024-02-17,08:15,1123,89,67,0,16120,12890,8.5,28890,8,Positive
